movieId,genre
WAS95,Comd
WAS100,Comd
WAS112,Romt
WAS112,Musc
WAS115,Romt
WAS125,Comd
WAS130,Romt
WvD33,West
WvD34,Dram
WvD36,Dram
WvD49,Comd
WvD49,Romt
WvD50,Dram
WvD51,Comd
WvD53,Musc
WvD54,Comd
WvD54,Romt
WvD56,Disa
WvD57,Comd
WvD57,Romt
WvD58,Musc
WvD60,Comd
WvD64,Epic
WvD64,BioP
WvD65,Romt
WvD67,Myst
WvD67,Comd
WvD69,Comd
WvD70,Comd
WvD72,Romt
WvD75,Susp
WvD76,Comd
WvD79,Comd
WvD79,Dram
AbP10,Dram
AbP50,Dram
C40,Epic
C91,Horr
C94,Myst
C104,Advt
C106,Advt
C109,Dram
C112,Advt
C113,Romt
C115,Dram
C117,Romt
C118,BioP
C119,West
C120,Romt
C122,West
C123,West1
C124,Susp
C126,Musc
C131,Susp
C134,Dram
C135,Musc
C135,BioP
C136,Romt
C136,Dram
C140,Dram
C142,BioP
C143,Advt
C146,Romt
C157,Musc
C160,Comd
C161,Musc
C165,Musc
C171,Advt
CBa30,West
CBa40,Romt
CBa45,Romt
CBa50,Romt
EmC10,Myst
FL8,Fant
FL9,Susp
FL11,Epic
FL12,Epic
FL13,ScFi
FL14,Dram
FL15,Fant
FL16,Dram
FL16,Susp
FL19,Dram
FL20,Actn
FL23,West
FL24,Susp
FL27,Susp
FL28,Susp
FL29,Dram
FL30,Advt
FL35,Dram
FL37,Susp
FM3,Horr
FM4,Dram
FM6,Dram
FM7,Romt
FM9,Dram
FM10,Dram
FM10,Romt
FNm5,Comd
FNm10,Comd
FNm12,Comd
FNm18,Comd
FNm30,Comd
FNm32,Comd
GAr58,Myst
GAr59,Susp
GAr59,Comd
GAr60,Advt
GAr60,Dram
GAr80,Comd
GF30,Dram
GF31,Dram
GF70,Romt
GF90,Romt
GF150,Dram
GF160,Dram
GF170,Dram
HB60,Comd
HB85,Dram
HB85,Actn
HB86,Dram
HB95,Susp
HuF8,Comd
HuF8,Dram
JuD8,Romt
JuD10,Dram
JuD10,Musc
JuD13,Comd
JuD15,Noir
JuD15,Susp
JuD20,Comd
JuD20,Romt
RhS1,Adctx
RhS15,Musc
RhS20,Dram
RiO15,Advt
RiO25,Comd
RiO30,Comd
RiO50,Comd
RW1,Horr
RW30,Horr
CBw9,Romt
CBw12,Dram
CBw15,Dram
CBw17,Dram
CBw18,Romt
CBw19,Romt
CBw22,Dram
CBw27,Romt
CBw27,Musc
CBw28,Romt
CBw30,Comd
CBw31,Romt
CBw31,BioP
CBw32,Romt
CBw32,Comd
CBw33,BioP
CBw35,Comd
CBw36,Romt
CBw37,BioP
CBw38,Comd
CBw38,Romt
CBw41,Romt
CBw41,Epic
CBw42,Dram
CBw43,Dram
CBw45,Dram
CBw48,Comd
CBw48,Romt
CDr9,Dram
CDr10,Horr
CDr30,Dram
CDr40,Dram
CuB34,Dram
CuB37,Musc
CuB39,Musc
CuB40,Dram
CuB44,Comd
FB13,Romt
FB15,Romt
FB21,Dram
FB27,Romt
FB29,Romt
FB39,Romt
FB40,Romt
FB42,Dram
FB43,Dram
FB45,Dram
FB51,Dram
FB52,Dram
GCt20,Dram
GCt27,Dram
GCt50,Comd
GRi10,Romt
HBl10,Dram
HBl20,Comd
HWx9,Romt
HWx11,BioP
HWx16,BioP
HWx17,BioP
HWx21,Romt
HWx21,Musc
HWx22,Musc
HWx45,Dram
HWx54,Susp
HWx55,Dram
HWx60,Dram
JWH10,Comd
JWH20,Comd
JWH30,Comd
JWH40,Comd
JWH48,Comd
JWH50,Comd
JWH60,West
JWH70,Comd
JWH75,Comd
JWH80,Comd
JWH100,Susp
JWH120,Comd
LPo10,Dram
LPo10,Fant
RoF1,Docu
RoF10,Docu
RoF20,Docu
RoF30,Docu
SW2,Dram
SW6,Dram
SW7,Romt
SW7,Musc
SW8,Comd
SW10,Comd
SW12,Comd
SW13,Dram
SW15,Dram
SW18,Dram
SW19,Comd
SW21,Dram
SW22,Advt
SW25,Comd
SW28,Dram
SW30,Susp
SW33,BioP
VF17,"Dram "
VF19,Dram
VF23,Dram
VF25,Dram
VF31,Advt
VF33,Advt
VF36,Advt
VF37,Dram
VF38,Comd
VF38,Romt
VF39,BioP
VF41,Advt
VF42,Actn
VF43,Fant
VF44,Dram
VF45,Fant
VF46,Dram
VF47,Romt
VF48,Dram
ViH20,Comd
AdB21,Romt
EdS50,Comd
EdS60,Comd
EdS65,Comd
EdS75,Comd
EHG15,Romt
EHG20,Dram
EHG30,Dram
EHG38,Dram
EHG48,Comd
EHG50,Musc
EHG50,Comd
HRi4,Surr
HRi4,dada
HRi17,Surr
HRi17,dada
HRi19,Surr
HRi19,dada
PRo55,"Susp "
PRo80,Comd
PRo80,Myst
PRo83,Myst
PRo83,Comd
PRo86,Comd
PRo86,Myst
PRo90,Myst
PRo90,Comd
PRo93,Myst
PRo93,Comd
PRo96,Myst
PRo96,Comd
RaI50,"	Susp"
RaI55,Susp
RCS10,Dram
SaT4,Comd
SaT5,Comd
SaT6,Comd
SaT8,Comd
SaT9,Comd
SaT10,Comd
SaT15,Comd
SaT17,Dram
SaT20,Comd
SaT23,Comd
CBy10,Dram
DMu4,Surr
FNm10,Comd
JEp15,Horr
LuB15,BioP
LuB20,Dram
LuB21,Dram
WR10,Romt
WR31,Dram
WR40,West
WR42,Romt
WR50,Dram
WR60,Dram
WR72,Comd
WR80,Romt
WR86,Romt
WR120,Comd
WR120,Romt
AGe10,Comd
AGe20,Comd
AC5,Dram
AC6,Actn
AC20,Advt
CMt10,BioP
GHl7,Dram
GP3,Dram
GP9,Dram
GP9,Comd
GP11,Actn
GP13,Dram
GP13,Musc
GP14,Docu
KMz55,Dram
KMz57,Dram
KMz70,Romt
KMz75,Dram
MRa1,dada
MRa2,dada
MRa3,dada
RC2,dada
RC9,Comd
RC9,Musc
RC10,Dram
RC10,Satire
RC12,Comd
RC13,Comd
RC16,Romt
RC16,Fant
RC18,Fant
RC19,Susp
RC20,Comd
RC21,Dram
RC22,Dram
RFG1,Comd
RFG3,Comd
RFG5,Comd
RFG5,CnRb
RFG7,Comd
RFG9,Comd
RFG20,Comd
RFG22,Comd
RFG25,Comd
RFG27,Comd
RFG30,Comd
RFG35,Dram
RFG40,Comd
RFG40,Romt
RFG41,Romt
RuJ3,Horr
RuJ8,Horr
TWh20,Susp
TWh25,Comd
TWh37,Dram
TWh41,Musc
TWh45,Comd
TWh45,Romt
TWh50,Musc
TWh60,Dram
TWh62,Dram
WiB25,Dram
WiB100,Comd
WiB180,Myst
WiB180,Comd
WiB183,Myst
WiB183,Comd
WiB186,Myst
WiB186,Comd
WiB190,Myst
WiB190,Comd
WiB199,Comd
W25,Comd
W30,Advt
W38,Dram
W40,Dram
W41,Dram
W50,Actn
W55,West
W56,Dram
W60,Dram
W66,Advt
W70,Dram
W73,Dram
W74,Dram
W75,Epic
W76,Dram
W77,Actn
W78,Dram
W82,Comd
W82,Myst
W83,West
W83,Dram
W85,West
W90,Dram
W98,Advt
